BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,region_original,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
P16,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,trnF,NA,bc1108,NA,bc1114,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P16,Weed,Geraniaceae,Storksbill,Erodium,Erodium carvifolium,trnF,NA,bc1108,NA,bc1114,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P17,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1148,NA,bc1155,NA,317,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P17,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,NA,bc1108,NA,bc1113,NA,259,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P17,Tree,Anacardiaceae,Chinese Pistachio,Pistacia,Pistacia chinensis,trnF,NA,bc1108,NA,bc1113,NA,12,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P17,Crop,Apiaceae,Coriander,Coriandrum,Coriandrum sativum,trnF,NA,bc1108,NA,bc1113,NA,3,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P17,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,NA,bc1148,NA,bc1155,NA,14,1, June,2019,43630,Pasco,Pasco,WSU,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P18,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,NA,bc1140,NA,bc1158,NA,13,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,NA,bc1140,NA,bc1158,NA,1061,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Pigweed,Amaranthaceae,Purple pigweed,Amaranthus,Amaranthus blitum,trnF,NA,bc1142,NA,bc1176,NA,48,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1140,NA,bc1158,NA,8,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Crop,Asteraceae,Lettuce,Lactuca,Lactuca sativa,trnF,NA,bc1142,NA,bc1176,NA,3,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,ITS,NA,bc1140,NA,bc1158,NA,40,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,trnF,NA,bc1142,NA,bc1176,NA,2,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Mustard,Brassicaceae,Wild cabbage,Brassica,Brassica oleracea,ITS,NA,bc1140,NA,bc1158,NA,2,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1140,NA,bc1158,NA,184,2, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,NA,bc1140,NA,bc1158,NA,3,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Crop,Cucurbitaceae,Cucumber,Cucumis,Cucumis sativus,ITS,NA,bc1140,NA,bc1158,NA,2,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Tree,Rutaceae,Sweet orange,Citrus,Citrus sinensis,ITS,NA,bc1140,NA,bc1158,NA,2,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P18,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,NA,bc1140,NA,bc1158,NA,3,1, June,2019,43636,Paterson,Paterson,475,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,NA,bc1140,NA,bc1157,NA,249,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,NA,bc1140,NA,bc1157,NA,7,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,NA,bc1140,NA,bc1157,NA,89,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Tree,Oleaceae,Olive,Olea,Olea europaea,ITS,NA,bc1140,NA,bc1157,NA,4,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum/americanum,ITS,NA,bc1140,NA,bc1157,NA,470,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,NA,bc1140,NA,bc1157,NA,2,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Nightshade,Solanaceae,White flower nightshade,Solanum,Solanum physalifolium,trnF,NA,bc1142,NA,bc1177,NA,6,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P19,Weed,Zygophyllaceae,Goathead,Tribulus,Tribulus terrestris,ITS,NA,bc1140,NA,bc1157,NA,140,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P2,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1134,NA,bc1140,NA,4,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,NA,bc1112,NA,bc1142,NA,5,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Weed,Amaranthaceae,Epazote,Chenopodium,Chenopodium acuminatum,trnF,NA,bc1112,NA,bc1142,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1134,NA,bc1140,NA,11,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,NA,bc1134,NA,bc1140,NA,2,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Crop,Cucurbitaceae,Pumpkin,Cucurbita,Cucurbita pepo,ITS,NA,bc1134,NA,bc1140,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Weed,Fabaceae,Vetch,Vicia,Vicia villosa,ITS,NA,bc1134,NA,bc1140,NA,16,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Shrub,Lauraceae,Spicebush,Lindera,Lindera fragrans,trnF,NA,bc1112,NA,bc1142,NA,7,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Shrub,Rosaceae,Photinia,Photinia,Photinia serratifolia,ITS,NA,bc1134,NA,bc1140,NA,2,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,NA,NA
P2,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,NA,bc1134,NA,bc1140,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P2,Nightshade,Solanaceae,Bittersweet nightshade,Solanum,Solanum dulcamara,trnF,NA,bc1112,NA,bc1142,NA,2,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,0,NA
P20,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,NA,bc1140,NA,bc1156,NA,2,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P20,Weed,Asteraceae,Artemisia,Artemisia,Artemisia fukudo,ITS,NA,bc1140,NA,bc1156,NA,2,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P20,Weed,Asteraceae,Horseweed,Erigeron,Erigeron canadensis,ITS,NA,bc1140,NA,bc1156,NA,2,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P20,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1140,NA,bc1156,NA,47,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P20,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,NA,bc1140,NA,bc1156,NA,10,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P20,Weed,Convolvulaceae,Morning Glory,Ipomoea,Ipomoea asarifolia,ITS,NA,bc1140,NA,bc1156,NA,2,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P20,Weed,Geraniaceae,Storksbill,Erodium,Erodium carvifolium,trnF,NA,bc1142,NA,bc1178,NA,4,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P20,Tree,Malvaceae,Linden,Tilia,Tilia x,ITS,NA,bc1140,NA,bc1156,NA,2,1, June,2019,43637,Pasco,Pasco,WSU,NA,Pigweed,NA,NA,NA,NA,0,0,NA
