BLH_ID,type,family,common_name,genus,organism,primer,BC,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,region_original,site_name,host_plant,BCTV,CPt,S_citri,
P7,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1146,bc1155,NA,77,1, June,2019,43628,Mattawa,Mattawa,RDR,Mustard,1,1,0,
P7,Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,ITS,bc1146,bc1155,NA,4,1, June,2019,43628,Mattawa,Mattawa,RDR,Mustard,1,1,0,
P7,Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,trnF,bc1097,bc1142,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDR,Mustard,1,1,0,
P8,Weed,Boraginaceae,Fiddleneck,Amsinckia,Amsinckia menziesii,ITS,bc1152,bc1155,NA,6,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Weed,Asteraceae,Artemisia ,Artemisia,Artemisia capillaris,trnF,bc1108,bc1178,NA,8,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,bc1152,bc1155,NA,7,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1152,bc1155,NA,323,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,bc1152,bc1155,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Tree,Rutaceae,Bitter orange,Citrus,Citrus aurantium,trnF,bc1108,bc1178,NA,3,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Weed,Asteraceae,Sand aster,Corethrogyne,Corethrogyne filaginifolia,ITS,bc1152,bc1155,NA,8,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,bc1152,bc1155,NA,5,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Weed,Asteraceae,Horseweed,Erigeron,Erigeron canadensis,trnF,bc1108,bc1178,NA,92,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,bc1152,bc1155,NA,5,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1152,bc1155,NA,41,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Crop,Asteraceae,Lettuce,Lactuca,Lactuca sativa,trnF,bc1108,bc1178,NA,42,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Tree,Morceae,Himalyan Mulberry,Morus,Morus serrata,trnF,bc1108,bc1178,NA,25,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Nightshade,Solanaceae,Tobacco,Nicotiana,Nicotiana tabacum,ITS,bc1152,bc1155,NA,3,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,ITS,bc1152,bc1155,NA,10,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,bc1108,bc1178,NA,72,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,trnF,bc1108,bc1178,NA,13,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Nightshade,Solanaceae,Bittersweet nightshade,Solanum,Solanum dulcamara,trnF,bc1108,bc1178,NA,10,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,bc1152,bc1155,NA,25,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P8,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,trnF,bc1108,bc1178,NA,12,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Weed,Asteraceae,Artemisia,Artemisia,Artemisia fukudo,ITS,bc1153,bc1155,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1153,bc1155,NA,209,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,bc1153,bc1155,NA,8,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,bc1153,bc1155,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1153,bc1155,NA,14,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,bc1153,bc1155,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,trnF,bc1108,bc1177,NA,10,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P9,Crop,Fabaceae,Cowpea,Vigna,Vigna unguiculata,ITS,bc1153,bc1155,NA,4,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,bc1155,bc1158,NA,3,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1155,bc1158,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Weed,Asteraceae,Horseweed,Erigeron,Erigeron canadensis,trnF,bc1108,bc1176,NA,22,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Weed,Asteraceae,Fleabane,Erigeron,Erigeron strigosus,ITS,bc1155,bc1158,NA,88,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,bc1155,bc1158,NA,9,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1155,bc1158,NA,10,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Tree,Fagaceae,Red oak,Quercus,Quercus rubra,ITS,bc1155,bc1158,NA,18,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,bc1108,bc1176,NA,3,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,trnF,bc1108,bc1176,NA,4,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,bc1155,bc1158,NA,13,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,trnF,bc1108,bc1176,NA,23,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P10,Tree,Malvaceae,Linden,Tilia,Tilia x,ITS,bc1155,bc1158,NA,24,1, June,2019,43628,Mattawa,Mattawa,RDJ,Kochia,0,0,0,
P11,Pigweed,Amaranthaceae,Purple pigweed,Amaranthus,Amaranthus blitum,trnF,bc1109,bc1142,NA,6,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P11,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,bc1140,bc1152,NA,97,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P11,Pigweed,Amaranthaceae,Green pigweed,Amaranthus,Amaranthus viridis,trnF,bc1109,bc1142,NA,8,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P11,Weed,Asteraceae,Safflower,Carthamus,Carthamus tinctorius,ITS,bc1140,bc1152,NA,18,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P11,Weed,Asteraceae,Spotted knapweed,Centaurea,Centaurea maculosa,trnF,bc1109,bc1142,NA,4,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P11,Crop,Cucurbitaceae,Cucumber,Cucumis,Cucumis sativus,ITS,bc1140,bc1152,NA,7,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P11,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,bc1140,bc1152,NA,7,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P11,Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,ITS,bc1140,bc1152,NA,3,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Crop,Amaryllidaceae,Onion,Allium,Allium cepa,ITS,bc1140,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Pigweed,Amaranthaceae,Purple pigweed,Amaranthus,Amaranthus blitum,trnF,bc1110,bc1142,NA,23,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,bc1140,bc1153,NA,399,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Weed,Boraginaceae,Fiddleneck,Amsinckia,Amsinckia intermedia,trnF,bc1110,bc1142,NA,7,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,bc1140,bc1153,NA,2,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1140,bc1153,NA,5,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,bc1140,bc1153,NA,10,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,bc1140,bc1153,NA,15,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1140,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,ITS,bc1140,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,bc1110,bc1142,NA,4,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P12,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,bc1140,bc1153,NA,8,1, June,2019,43630,Pasco,Pasco,505,Pigweed,0,0,0,
P13,Tree,Sapindaceae,Sugar maple,Acer,Acer saccharinum,ITS,bc1155,bc1157,NA,71,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P13,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,bc1155,bc1157,NA,14,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P13,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1155,bc1157,NA,27,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P13,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,bc1155,bc1157,NA,10,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P13,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,bc1155,bc1157 ,NA,23,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P13,Tree,Rosaceae,Peach,Prunus,Prunus persica,ITS,bc1155,bc1157,NA,64,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P13,Nightshade,Solanaceae,Bittersweet nightshade,Solanum,Solanum dulcamara,ITS,bc1155,bc1157,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P13,Nightshade,Solanaceae,Black nightshade,Solanum,Solanum nigrum/americanum,ITS,bc1155,bc1157,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Kochia,Amaranthaceae,Fireweed kochia,Bassia,Bassia littorea,trnF,bc1108,bc1109,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,bc1155,bc1156,NA,5,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,bc1155,bc1156,NA,4,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Weed,Geraniaceae,Storksbill,Erodium,Erodium carvifolium,trnF,bc1108,bc1109,NA,7,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,bc1155,bc1156,NA,58,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1155,bc1156,NA,5,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Crop,Asteraceae,Lettuce,Lactuca,Lactuca sativa,trnF,bc1108,bc1109,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P14,Tree,Rosaceae,Peach,Prunus,Prunus persica,ITS,bc1155,bc1156,NA,4,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P15,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1155,bc1159,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P15,Crop,Apiaceae,Coriander,Coriandrum,Coriandrum sativum,trnF,bc1108,bc1115,NA,2,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P15,Crop,Cucurbitaceae,Cucumber,Cucumis,Cucumis sativus,ITS,bc1155,bc1159,NA,6,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P15,Weed,Geraniaceae,Filaree,Erodium,Erodium cicutarium,ITS,bc1155,bc1159,NA,26,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P15,Tree,Oleaceae,Privet,Ligustrum,Ligustrum lucidum,trnF,bc1108,bc1115,NA,7,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
P15,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,bc1108,bc1115,NA,7,1, June,2019,43630,Pasco,Pasco,WSU,Kochia,0,0,0,
